Alarm_Type,Start,End,Duration
MIDDLE_LEVEL_ALARM,2024-08-08 17:02:00,2024-08-08 17:13:00,11.0
MIDDLE_LEVEL_ALARM,2024-08-08 17:16:00,2024-08-08 18:23:00,67.0
MIDDLE_LEVEL_ALARM,2024-08-09 03:59:00,2024-08-09 03:59:00,0.0
MIDDLE_LEVEL_ALARM,2024-08-09 04:01:00,2024-08-09 04:01:00,0.0
MIDDLE_LEVEL_ALARM,2024-08-09 04:03:00,2024-08-09 04:03:00,0.0
MIDDLE_LEVEL_ALARM,2024-08-09 04:05:00,2024-08-09 04:39:00,34.0
MIDDLE_LEVEL_ALARM,2024-08-09 05:00:00,2024-08-09 05:00:00,0.0
MIDDLE_LEVEL_ALARM,2024-08-09 05:02:00,2024-08-09 06:18:00,76.0
MIDDLE_LEVEL_ALARM,2024-08-09 08:25:00,2024-08-09 08:42:00,17.0
MIDDLE_LEVEL_ALARM,2024-08-09 08:44:00,2024-08-09 09:00:00,16.0
MIDDLE_LEVEL_ALARM,2024-08-09 09:02:00,2024-08-09 09:20:00,18.0
MIDDLE_LEVEL_ALARM,2024-08-09 09:22:00,2024-08-09 09:40:00,18.0
MIDDLE_LEVEL_ALARM,2024-08-09 09:42:00,2024-08-09 09:58:00,16.0
MIDDLE_LEVEL_ALARM,2024-08-09 10:01:00,2024-08-09 10:14:00,13.0
MIDDLE_LEVEL_ALARM,2024-08-09 10:32:00,2024-08-09 11:21:00,49.0
MIDDLE_LEVEL_ALARM,2024-08-09 11:45:00,2024-08-09 12:56:00,71.0
MIDDLE_LEVEL_ALARM,2024-08-09 13:34:00,2024-08-09 14:02:00,28.0
MIDDLE_LEVEL_ALARM,2024-08-09 14:06:00,2024-08-09 14:35:00,29.0
MIDDLE_LEVEL_ALARM,2024-08-09 14:38:00,2024-08-09 15:03:00,25.0
MIDDLE_LEVEL_ALARM,2024-08-09 15:07:00,2024-08-09 15:35:00,28.0
MIDDLE_LEVEL_ALARM,2024-08-09 15:38:00,2024-08-09 16:01:00,23.0
