Date,Time,DROPS_SCORE,FILLING,DRYING,RECYCLING,EMPTY,SHUTDOWN,STOP,COOLING,MANUAL
07-08-2024,22:54:11,1707,,,,,,,,
07-08-2024,22:54:41,,false,false,false,false,false,false,false,false
07-08-2024,22:54:48,,,,,,,,,
07-08-2024,22:55:02,1707,,,,,,,,
07-08-2024,22:55:11,,,,,,,,,
07-08-2024,22:55:41,,false,false,false,false,false,false,false,false
07-08-2024,22:55:48,,,,,,,,,
07-08-2024,22:56:11,,,,,,,,,
07-08-2024,22:56:25,1707,,,,,,,,
07-08-2024,22:56:41,,false,false,false,false,false,false,false,false
07-08-2024,22:56:48,,,,,,,,,
07-08-2024,22:57:11,,,,,,,,,
07-08-2024,22:57:22,1707,,,,,,,,
07-08-2024,22:57:41,,false,false,false,false,false,false,false,false
07-08-2024,22:57:48,,,,,,,,,
07-08-2024,22:57:52,1707,,,,,,,,
07-08-2024,22:58:11,,,,,,,,,
07-08-2024,22:58:22,1707,,,,,,,,
07-08-2024,22:58:41,,false,false,false,false,false,false,false,false
07-08-2024,22:58:48,,,,,,,,,
07-08-2024,22:58:52,1707,,,,,,,,
07-08-2024,22:59:11,,,,,,,,,
07-08-2024,22:59:22,1707,,,,,,,,
07-08-2024,22:59:41,,false,false,false,false,false,false,false,false
07-08-2024,22:59:48,,,,,,,,,
07-08-2024,22:59:52,1707,,,,,,,,
07-08-2024,23:00:11,,,,,,,,,
07-08-2024,23:00:22,1707,,,,,,,,
07-08-2024,23:00:41,,false,false,false,false,false,false,false,false
07-08-2024,23:00:48,,,,,,,,,
07-08-2024,23:00:52,1707,,,,,,,,
07-08-2024,23:01:11,,,,,,,,,
07-08-2024,23:01:22,1707,,,,,,,,
07-08-2024,23:01:41,,false,false,false,false,false,false,false,false
07-08-2024,23:01:48,,,,,,,,,
07-08-2024,23:01:52,1707,,,,,,,,
07-08-2024,23:02:11,,,,,,,,,
07-08-2024,23:02:22,1707,,,,,,,,
07-08-2024,23:02:41,,false,false,false,false,false,false,false,false
07-08-2024,23:02:48,,,,,,,,,
07-08-2024,23:02:52,1707,,,,,,,,
07-08-2024,23:03:11,,,,,,,,,
07-08-2024,23:03:22,1707,,,,,,,,
07-08-2024,23:03:41,,false,false,false,false,false,false,false,false
07-08-2024,23:03:48,,,,,,,,,
07-08-2024,23:03:52,1707,,,,,,,,
07-08-2024,23:04:11,,,,,,,,,
07-08-2024,23:04:22,1707,,,,,,,,
07-08-2024,23:04:41,,false,false,false,false,false,false,false,false
07-08-2024,23:04:48,,,,,,,,,
07-08-2024,23:04:52,1707,,,,,,,,
07-08-2024,23:05:11,,,,,,,,,
07-08-2024,23:05:22,1707,,,,,,,,
07-08-2024,23:05:41,,false,false,false,false,false,false,false,false
07-08-2024,23:05:48,,,,,,,,,
07-08-2024,23:05:52,1707,,,,,,,,
07-08-2024,23:06:11,,,,,,,,,
07-08-2024,23:06:22,1707,,,,,,,,
07-08-2024,23:06:41,,false,false,false,false,false,false,false,false
07-08-2024,23:06:48,,,,,,,,,
07-08-2024,23:06:52,1707,,,,,,,,
07-08-2024,23:07:11,,,,,,,,,
07-08-2024,23:07:22,1707,,,,,,,,
07-08-2024,23:07:41,,false,false,false,false,false,false,false,false
07-08-2024,23:07:48,,,,,,,,,
07-08-2024,23:07:52,1707,,,,,,,,
07-08-2024,23:08:11,,,,,,,,,
07-08-2024,23:08:22,1707,,,,,,,,
07-08-2024,23:08:41,,false,false,false,false,false,false,false,false
07-08-2024,23:08:48,,,,,,,,,
07-08-2024,23:08:52,1707,,,,,,,,
07-08-2024,23:09:11,,,,,,,,,
07-08-2024,23:09:22,1707,,,,,,,,
07-08-2024,23:09:41,,false,false,false,false,false,false,false,false
07-08-2024,23:09:48,,,,,,,,,
07-08-2024,23:09:52,1707,,,,,,,,
07-08-2024,23:10:11,,,,,,,,,
07-08-2024,23:10:22,1707,,,,,,,,
07-08-2024,23:10:41,,false,false,false,false,false,false,false,false
07-08-2024,23:10:48,,,,,,,,,
07-08-2024,23:10:52,1707,,,,,,,,
07-08-2024,23:11:11,,,,,,,,,
07-08-2024,23:11:22,1707,,,,,,,,
07-08-2024,23:11:41,,false,false,false,false,false,false,false,false
07-08-2024,23:11:48,,,,,,,,,
07-08-2024,23:11:52,1707,,,,,,,,
07-08-2024,23:12:11,,,,,,,,,
07-08-2024,23:12:22,1707,,,,,,,,
07-08-2024,23:12:41,,false,false,false,false,false,false,false,false
07-08-2024,23:12:48,,,,,,,,,
07-08-2024,23:12:52,1707,,,,,,,,
07-08-2024,23:13:11,,,,,,,,,
07-08-2024,23:13:22,1707,,,,,,,,
07-08-2024,23:13:41,,false,false,false,false,false,false,false,false
07-08-2024,23:13:48,,,,,,,,,
07-08-2024,23:13:52,1707,,,,,,,,
07-08-2024,23:14:11,,,,,,,,,
