Date,Time,DROPS_SCORE,DROPS_SET_TIMER,SET_BURNERS_TEMP,COOLING_TIME,BOTTOM_TEMP_LIMIT,UPPER_FAN_SET_HZ,LOWER_FAN_SET_HZ,MID_TEMP_LIMIT
07-08-2024,22:54:11,1707,79.0,850,10,600,4000,4000,550
07-08-2024,22:54:41,,0.0,,,,,,
07-08-2024,22:54:48,,0.0,,,,,,
07-08-2024,22:55:02,1707,79.0,85.0,10,600,4000,4000,550
07-08-2024,22:55:11,,0.0,,,,,,
07-08-2024,22:55:41,,0.0,,,,,,
07-08-2024,22:55:48,,0.0,,,,,,
07-08-2024,22:56:11,,0.0,,,,,,
07-08-2024,22:56:25,1707,79.0,85.0,10,60.0,4000,4000,55.0
07-08-2024,22:56:41,,0.0,,,,,,
07-08-2024,22:56:48,,0.0,,,,,,
07-08-2024,22:57:11,,0.0,,,,,,
07-08-2024,22:57:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,22:57:41,,0.0,,,,,,
07-08-2024,22:57:48,,0.0,,,,,,
07-08-2024,22:57:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,22:58:11,,0.0,,,,,,
07-08-2024,22:58:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,22:58:41,,0.0,,,,,,
07-08-2024,22:58:48,,0.0,,,,,,
07-08-2024,22:58:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,22:59:11,,0.0,,,,,,
07-08-2024,22:59:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,22:59:41,,0.0,,,,,,
07-08-2024,22:59:48,,0.0,,,,,,
07-08-2024,22:59:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:00:11,,0.0,,,,,,
07-08-2024,23:00:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:00:41,,0.0,,,,,,
07-08-2024,23:00:48,,0.0,,,,,,
07-08-2024,23:00:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:01:11,,0.0,,,,,,
07-08-2024,23:01:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:01:41,,0.0,,,,,,
07-08-2024,23:01:48,,0.0,,,,,,
07-08-2024,23:01:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:02:11,,0.0,,,,,,
07-08-2024,23:02:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:02:41,,0.0,,,,,,
07-08-2024,23:02:48,,0.0,,,,,,
07-08-2024,23:02:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:03:11,,0.0,,,,,,
07-08-2024,23:03:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:03:41,,0.0,,,,,,
07-08-2024,23:03:48,,0.0,,,,,,
07-08-2024,23:03:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:04:11,,0.0,,,,,,
07-08-2024,23:04:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:04:41,,0.0,,,,,,
07-08-2024,23:04:48,,0.0,,,,,,
07-08-2024,23:04:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:05:11,,0.0,,,,,,
07-08-2024,23:05:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:05:41,,0.0,,,,,,
07-08-2024,23:05:48,,0.0,,,,,,
07-08-2024,23:05:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:06:11,,0.0,,,,,,
07-08-2024,23:06:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:06:41,,0.0,,,,,,
07-08-2024,23:06:48,,0.0,,,,,,
07-08-2024,23:06:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:07:11,,0.0,,,,,,
07-08-2024,23:07:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:07:41,,0.0,,,,,,
07-08-2024,23:07:48,,0.0,,,,,,
07-08-2024,23:07:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:08:11,,0.0,,,,,,
07-08-2024,23:08:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:08:41,,0.0,,,,,,
07-08-2024,23:08:48,,0.0,,,,,,
07-08-2024,23:08:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:09:11,,0.0,,,,,,
07-08-2024,23:09:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:09:41,,0.0,,,,,,
07-08-2024,23:09:48,,0.0,,,,,,
07-08-2024,23:09:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:10:11,,0.0,,,,,,
07-08-2024,23:10:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:10:41,,0.0,,,,,,
07-08-2024,23:10:48,,0.0,,,,,,
07-08-2024,23:10:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:11:11,,0.0,,,,,,
07-08-2024,23:11:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:11:41,,0.0,,,,,,
07-08-2024,23:11:48,,0.0,,,,,,
07-08-2024,23:11:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:12:11,,0.0,,,,,,
07-08-2024,23:12:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:12:41,,0.0,,,,,,
07-08-2024,23:12:48,,0.0,,,,,,
07-08-2024,23:12:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:13:11,,0.0,,,,,,
07-08-2024,23:13:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:13:41,,0.0,,,,,,
07-08-2024,23:13:48,,0.0,,,,,,
07-08-2024,23:13:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:14:11,,0.0,,,,,,
07-08-2024,23:14:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:14:41,,0.0,,,,,,
07-08-2024,23:14:48,,0.0,,,,,,
07-08-2024,23:14:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:15:11,,0.0,,,,,,
07-08-2024,23:15:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:15:41,,0.0,,,,,,
07-08-2024,23:15:48,,0.0,,,,,,
07-08-2024,23:15:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:16:11,,0.0,,,,,,
07-08-2024,23:16:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:16:41,,0.0,,,,,,
07-08-2024,23:16:48,,0.0,,,,,,
07-08-2024,23:16:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:17:11,,0.0,,,,,,
07-08-2024,23:17:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:17:41,,0.0,,,,,,
07-08-2024,23:17:48,,0.0,,,,,,
07-08-2024,23:17:52,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:18:11,,0.0,,,,,,
07-08-2024,23:18:22,1707,79.0,85.0,10,60.0,40,40,55.0
07-08-2024,23:18:41,,0.0,,,,,,
