Date,Time,Grain,Moisture,Temperature,Nature
09-08-2024,02:50:55,Nisu,15.459,31.733,0.78107
09-08-2024,02:52:17,Nisu,14.855,19.077,0.78551
09-08-2024,02:53:33,Nisu,14.878,19.111,0.78947
09-08-2024,02:55:18,Nisu,15.345,17.35,0.78329
09-08-2024,03:19:55,Nisu,14.701,17.497,0.78453
09-08-2024,03:20:59,Nisu,14.67,18.05,0.787
09-08-2024,03:23:10,Nisu,14.167,17.993,0.78798
09-08-2024,03:43:14,Nisu,13.331,18.332,0.78502
09-08-2024,04:01:23,Nisu,12.756,19.348,0.78848
09-08-2024,04:10:09,Nisu,15.97,21.719,0.79292
09-08-2024,04:12:07,Nisu,15.914,21.821,0.79194
09-08-2024,04:24:13,Nisu,12.732,19.179,0.78848
09-08-2024,04:33:13,Nisu,12.754,19.856,0.78947
09-08-2024,04:46:09,Nisu,12.747,20.33,0.78848
09-08-2024,04:54:25,Nisu,15.892,19.924,0.79218
09-08-2024,04:58:48,Nisu,12.729,21.132,0.79045
09-08-2024,05:11:55,Nisu,12.574,21.945,0.79194
09-08-2024,05:23:17,Nisu,12.41,23.051,0.79712
09-08-2024,05:33:52,Nisu,12.461,23.74,0.7907
09-08-2024,05:54:23,Nisu,12.77,25.445,0.79317
09-08-2024,05:55:46,Nisu,15.755,21.708,0.79243
09-08-2024,06:06:08,Nisu,12.842,25.23,0.79391
09-08-2024,06:20:27,Nisu,12.938,25.298,0.79194
09-08-2024,06:32:20,Nisu,12.864,25.716,0.79416
09-08-2024,06:47:06,Nisu,12.983,27.364,0.79119
09-08-2024,07:05:05,Nisu,13.071,27.816,0.79465
09-08-2024,07:05:25,Nisu,13.016,27.285,0.79366
09-08-2024,07:07:16,Nisu,13.025,27.037,0.79515
09-08-2024,07:11:12,Nisu,12.987,26.653,0.79292
09-08-2024,07:21:50,Nisu,12.58,25.23,0.79243
09-08-2024,07:24:42,Nisu,15.894,20.59,0.78996
09-08-2024,07:46:31,Nisu,13.359,27.33,0.7949
09-08-2024,07:48:45,Nisu,15.755,21.448,0.79589
09-08-2024,08:14:59,Nisu,13.488,27.172,0.79515
09-08-2024,08:24:31,Nisu,15.833,22.295,0.7828
09-08-2024,08:54:40,Nisu,13.528,28.572,0.79045
09-08-2024,09:04:43,Nisu,16.846,24.869,0.75834
09-08-2024,09:18:19,Nisu,15.926,20.5,0.79144
09-08-2024,09:20:54,Nisu,13.544,30.65,0.79342
09-08-2024,09:44:54,Nisu,17.278,27.522,0.77094
09-08-2024,09:45:39,Nisu,13.587,29.227,0.7949
09-08-2024,09:47:21,Nisu,16.08,23.345,0.78206
09-08-2024,10:13:00,Nisu,13.684,30.446,0.79564
09-08-2024,10:14:15,Nisu,16.01,23.006,0.787
09-08-2024,10:36:29,Nisu,13.674,29.069,0.78996
09-08-2024,10:38:05,Nisu,16.056,22.679,0.78601
09-08-2024,11:05:17,Nisu,13.728,28.008,0.79194
09-08-2024,11:06:10,Nisu,16.065,22.645,0.78033
09-08-2024,11:35:25,Nisu,13.657,30.029,0.79317
09-08-2024,11:36:01,Nisu,13.554,29.374,0.79194
09-08-2024,11:36:38,Nisu,15.809,21.843,0.78798
09-08-2024,12:16:34,Nisu,13.06,28.053,0.79268
09-08-2024,12:18:40,Nisu,15.832,21.064,0.7823
09-08-2024,12:36:44,Nisu,16.781,28.233,0.74303
09-08-2024,12:59:53,Nisu,13.433,30.243,0.79342
09-08-2024,12:59:58,Nisu,13.435,30.333,0.79194
09-08-2024,13:21:59,Nisu,17.234,28.312,0.78502
09-08-2024,13:40:03,Nisu,13.703,29.938,0.79045
09-08-2024,13:40:49,Nisu,16.683,28.38,0.78527
09-08-2024,14:01:02,Nisu,13.849,29.385,0.79564
09-08-2024,14:10:52,Nisu,17.04,28.369,0.78304
09-08-2024,14:26:05,Nisu,14.232,28.854,0.79836
09-08-2024,14:40:20,Nisu,15.197,29.701,0.78107
09-08-2024,15:00:25,Nisu,13.519,26.788,0.80132
09-08-2024,15:00:28,Nisu,13.524,27.048,0.8028
09-08-2024,15:03:13,Nisu,16.221,28.617,0.79045
09-08-2024,15:31:27,Nisu,13.318,30.796,0.79984
09-08-2024,15:32:45,Nisu,16.288,28.572,0.77835
09-08-2024,16:00:41,Nisu,15.932,28.335,0.78996
09-08-2024,16:30:51,Nisu,13.601,30.909,0.79737
09-08-2024,16:31:29,Nisu,16.954,27.883,0.76402
09-08-2024,16:55:16,Nisu,13.589,31.677,0.79688
09-08-2024,17:11:04,Nisu,16.563,28.437,0.78477
09-08-2024,17:31:16,Nisu,13.826,29.464,0.79416
09-08-2024,17:33:28,Nisu,15.12,30.604,0.7907
09-08-2024,18:01:56,Nisu,13.531,27.782,0.79465
09-08-2024,18:02:48,Nisu,15.338,29.125,0.78502
09-08-2024,18:32:10,Nisu,13.747,29.317,0.78774
09-08-2024,18:33:36,Nisu,14.768,28.143,0.79589
09-08-2024,19:04:04,Nisu,13.332,29.419,0.79836
09-08-2024,19:06:36,Nisu,15.127,28.143,0.79169
09-08-2024,19:31:01,Nisu,13.525,28.425,0.79935
09-08-2024,19:31:45,Nisu,14.801,25.761,0.79169
09-08-2024,19:49:29,Nisu,13.404,28.087,0.80108
09-08-2024,20:10:30,Nisu,15.471,27.635,0.79194
09-08-2024,20:13:24,Nisu,13.361,28.008,0.79885
09-08-2024,20:32:43,Nisu,16.072,28.301,0.79119
09-08-2024,20:35:32,Nisu,13.398,27.646,0.8033
09-08-2024,20:47:50,Nisu,13.419,28.087,0.80033
09-08-2024,21:18:12,Nisu,13.508,28.606,0.80206
09-08-2024,21:19:37,Nisu,16.357,28.561,0.78996
09-08-2024,21:41:36,Nisu,13.797,28.121,0.8033
09-08-2024,21:51:17,Nisu,16.31,28.222,0.78798
09-08-2024,21:58:40,Nisu,13.782,26.822,0.80206
09-08-2024,22:12:29,Nisu,14.09,26.89,0.80108
09-08-2024,22:16:45,Nisu,16.011,28.053,0.7786
09-08-2024,22:27:47,Nisu,13.922,27.906,0.80058
09-08-2024,22:37:12,Nisu,13.832,26.721,0.80231
09-08-2024,22:48:45,Nisu,15.315,27.556,0.78749
09-08-2024,22:51:59,Nisu,13.727,26.89,0.80206
09-08-2024,23:12:20,Nisu,13.92,27.996,0.79663
09-08-2024,23:35:26,Nisu,13.63,26.1,0.79836
09-08-2024,23:55:33,Nisu,15.718,27.172,0.7823
09-08-2024,23:56:13,Nisu,13.487,28.154,0.80009
10-08-2024,00:16:50,Nisu,13.505,27.94,0.79811
10-08-2024,00:40:03,Nisu,13.59,27.872,0.79885
10-08-2024,00:57:32,Nisu,14.987,24.767,0.79194
10-08-2024,00:58:17,Nisu,13.629,26.337,0.80009
10-08-2024,01:17:45,Nisu,13.513,26.111,0.8028
10-08-2024,01:19:09,Nisu,15.111,25.354,0.7949
10-08-2024,01:20:35,Nisu,17.935,25.422,0.76402
10-08-2024,01:22:17,Nisu,17.126,25.027,0.77613
10-08-2024,01:38:21,Nisu,13.331,27.488,0.80058
10-08-2024,01:57:03,Nisu,13.445,26.856,0.79786
10-08-2024,02:15:51,Nisu,13.56,26.111,0.79786
10-08-2024,02:19:04,Nisu,15.33,25.863,0.79119
10-08-2024,02:34:49,Nisu,13.427,27.951,0.80009
10-08-2024,03:02:28,Nisu,13.342,28.132,0.80157
10-08-2024,03:21:22,Nisu,13.332,27.454,0.79984
10-08-2024,03:23:27,Nisu,14.998,22.024,0.79959
10-08-2024,03:56:23,Nisu,13.325,28.392,0.80206
10-08-2024,03:58:52,Nisu,15.144,21.742,0.79984
10-08-2024,04:31:10,Nisu,13.397,22.543,0.79885
10-08-2024,04:53:39,Nisu,13.268,25.467,0.80305
10-08-2024,05:21:18,Nisu,13.466,29.521,0.80429
10-08-2024,05:22:45,Nisu,15.504,21.618,0.79416
10-08-2024,05:34:46,Nisu,13.351,28.166,0.80256
10-08-2024,05:57:39,Nisu,13.538,28.154,0.80527
10-08-2024,06:23:43,Nisu,13.814,29.475,0.80206
10-08-2024,06:42:36,Nisu,13.744,28.019,0.80231
10-08-2024,06:46:05,Nisu,15.231,21.561,0.79935
10-08-2024,06:59:41,Nisu,13.559,28.132,0.80503
10-08-2024,07:22:23,Nisu,14.598,19.958,0.74204
10-08-2024,07:23:15,Nisu,14.5,20.827,0.77539
