Date,Time,GRAIN_TYPE,DROPS_SCORE,DRY_MOISTURE,DRY_TEMP,DRY_NATURE,WET_MOISTURE,WET_TEMP,WET_NATURE
07-08-2024,22:54:11,,1707,,,,,,
07-08-2024,22:54:41,,,,,,,,
07-08-2024,22:54:48,,,,,,,,
07-08-2024,22:55:02,,1707,,,,,,
07-08-2024,22:55:11,,,,,,,,
07-08-2024,22:55:41,,,,,,,,
07-08-2024,22:55:48,,,,,,,,
07-08-2024,22:56:11,,,,,,,,
07-08-2024,22:56:25,,1707,,,,,,
07-08-2024,22:56:41,,,,,,,,
07-08-2024,22:56:48,,,,,,,,
07-08-2024,22:57:11,,,,,,,,
07-08-2024,22:57:22,,1707,,,,,,
07-08-2024,22:57:41,,,,,,,,
07-08-2024,22:57:48,,,,,,,,
07-08-2024,22:57:52,,1707,,,,,,
07-08-2024,22:58:11,,,,,,,,
07-08-2024,22:58:22,,1707,,,,,,
07-08-2024,22:58:41,,,,,,,,
07-08-2024,22:58:48,,,,,,,,
07-08-2024,22:58:52,,1707,,,,,,
07-08-2024,22:59:11,,,,,,,,
07-08-2024,22:59:22,,1707,,,,,,
07-08-2024,22:59:41,,,,,,,,
07-08-2024,22:59:48,,,,,,,,
07-08-2024,22:59:52,,1707,,,,,,
07-08-2024,23:00:11,,,,,,,,
07-08-2024,23:00:22,,1707,,,,,,
07-08-2024,23:00:41,,,,,,,,
07-08-2024,23:00:48,,,,,,,,
07-08-2024,23:00:52,,1707,,,,,,
07-08-2024,23:01:11,,,,,,,,
07-08-2024,23:01:22,,1707,,,,,,
07-08-2024,23:01:41,,,,,,,,
07-08-2024,23:01:48,,,,,,,,
07-08-2024,23:01:52,,1707,,,,,,
07-08-2024,23:02:11,,,,,,,,
07-08-2024,23:02:22,,1707,,,,,,
07-08-2024,23:02:41,,,,,,,,
07-08-2024,23:02:48,,,,,,,,
07-08-2024,23:02:52,,1707,,,,,,
07-08-2024,23:03:11,,,,,,,,
07-08-2024,23:03:22,,1707,,,,,,
07-08-2024,23:03:41,,,,,,,,
07-08-2024,23:03:48,,,,,,,,
07-08-2024,23:03:52,,1707,,,,,,
07-08-2024,23:04:11,,,,,,,,
07-08-2024,23:04:22,,1707,,,,,,
07-08-2024,23:04:41,,,,,,,,
07-08-2024,23:04:48,,,,,,,,
07-08-2024,23:04:52,,1707,,,,,,
07-08-2024,23:05:11,,,,,,,,
07-08-2024,23:05:22,,1707,,,,,,
07-08-2024,23:05:41,,,,,,,,
07-08-2024,23:05:48,,,,,,,,
07-08-2024,23:05:52,,1707,,,,,,
07-08-2024,23:06:11,,,,,,,,
07-08-2024,23:06:22,,1707,,,,,,
07-08-2024,23:06:41,,,,,,,,
07-08-2024,23:06:48,,,,,,,,
07-08-2024,23:06:52,,1707,,,,,,
07-08-2024,23:07:11,,,,,,,,
07-08-2024,23:07:22,,1707,,,,,,
07-08-2024,23:07:41,,,,,,,,
07-08-2024,23:07:48,,,,,,,,
07-08-2024,23:07:52,,1707,,,,,,
07-08-2024,23:08:11,,,,,,,,
07-08-2024,23:08:22,,1707,,,,,,
07-08-2024,23:08:41,,,,,,,,
07-08-2024,23:08:48,,,,,,,,
